full_cultural_data
name,address,lat,lon,types,targetAudiences,websites,activities,artFields
תרבוטק וספריית אביטל,יוספטל 98 בת ים,32.015439,34.760644,ספריה; אתר מורשת תרבותית,גיל שלישי 60+; קהל רחב,https://www.bat-yam.muni.il/he/249/; https://www.facebook.com/tarbutek.batyam; https://www.coing.co/BatYam_Tarbutek,מופעים; נותן שירותים; ערבי תרבות; סדנאות,בין/רב תחומי; אומנות המילה
קונסרבטיון למוסיקה,ליבורנו 24 בת ים,32.012900,34.760645,מוסד תרבות (כללי),נוער 12-18,https://www.tarbut-batyam.co.il/?CategoryID=405,חוגים; מופעים,מוסיקה
היכל התרבות,סמטת אופיר 3,32.020639,34.757244,אולם מופעים,גיל שלישי 60+; קהל רחב,https://www.tarbut-batyam.co.il/,מופעים,בין/רב תחומי
אודיטוריום בת ים,שאול הדדי 6,32.019119,34.755660,אולם מופעים,קהל רחב,,מופעים,בין/רב תחומי
המכון לאמנות,הגבול שמחה הולצברג 18,31.687631,34.582767,מוסד תרבות (כללי),נוער 12-18; young adults 18-30; קהל רחב,https://www.facebook.com/batyamgallery/?locale=he_IL,סדנאות; חוגים; תערוכות,אמנות פלסטית
מוזיאון בן ארי - MOBY - מוזיאון בת ים,סטרומה 6 בת ים,32.020700,34.756100,מוזיאון,קהל רחב,https://www.facebook.com/moby.batyam/?locale=he_IL,תערוכות,אמנות פלסטית
בית שלום אש - מוזאוני בת ים,ארלוזרוב 50  בת ים,32.020732,34.744499,אתר מורשת תרבותית,קהל רחב,,תערוכות,אמנות פלסטית
בית ריבק - מוזיאוני בת ים,שאול הדדי 6,32.019113,34.755690,מוזיאון,קהל רחב,,סדנאות,בין/רב תחומי
בית-צדיק,שאול המלך 4 בת-ים,32.014071,34.740821,"מרכזים קהילתיים (מתנ""ס)",ילדים 5-12; נוער 12-18; משפחות צעירות 30+,https://www.tarbut-batyam.co.il/?CategoryID=1000,חוגים,קהילה
גאולים,ניצנה 19 בת-ים,32.025288,34.759747,"מרכזים קהילתיים (מתנ""ס)",ילדים 5-12; young adults 18-30; משפחות צעירות 30+,,חוגים,קהילה
גורדון,"ביל""ו 1 פינת הגבול בת-ים",32.031520,34.745573,"מרכזים קהילתיים (מתנ""ס)",ילדים 5-12; young adults 18-30; משפחות צעירות 30+,,חוגים,קהילה
הבונים,אורט ישראל 9 בת-ים,32.013050,34.749762,"מרכזים קהילתיים (מתנ""ס)",ילדים 5-12; נוער 12-18; משפחות צעירות 30+,,חוגים,קהילה
יגלום,ליבורנו 17 בת-ים,32.014717,34.760220,"מרכזים קהילתיים (מתנ""ס)",ילדים 5-12; נוער 12-18,,חוגים,קהילה
כותר-פיס,ז'בוטינסקי 3 בת-ים,32.021517,34.740195,"מרכזים קהילתיים (מתנ""ס)",ילדים 5-12; young adults 18-30,,חוגים,קהילה
כנרת,כנרת 6 בת-ים,32.023990,34.753547,"מרכזים קהילתיים (מתנ""ס)",ילדים 5-12; נוער 12-18; משפחות צעירות 30+,,חוגים,קהילה
עופר,הבנים 5 בת-ים,32.007074,34.752176,"מרכזים קהילתיים (מתנ""ס)",ילדים 5-12; גיל שלישי 60+; קהל רחב,,חוגים,קהילה
מרכז כלים לכוריאוגרפיה,יצחק נפחא 2 בת-ים,32.004631,34.744090,מוסד תרבות (כללי); אולם מופעים,קהל רחב,https://kelim.org.il,מופעים; ליווי אמנים ויוצרים מקצועיים; תוכניות הכשרה ולימודים,מחול; קהילה
טרמינל לעיצוב,אהוד קינמון 32,32.007287,34.747812,מוסד תרבות (כללי); גלריה; אומנות וקהילה,,https://designterminal.org.il/he/home,תערוכות; ליווי אמנים ויוצרים מקצועיים; ערבי תרבות,בין/רב תחומי; אומנות פלסטית
,,,,,,,,
,,,,,,,,
